Algorithm,ArrayType,Size,AvgTime(us),AvgComparisons,Iterations
StringMergeSort,Reverse,1400,988.606,31597,5
MSDRadixSort,Reverse,1400,418.091,0,5
MSDRadixSort+QS,Reverse,1400,159.424,6115,5
StringQuickSort,NearlySorted,1400,90.6902,13224,5
StringMergeSort,NearlySorted,1400,1026.41,31688,5
MSDRadixSort,NearlySorted,1400,428.096,0,5
MSDRadixSort+QS,NearlySorted,1400,160.854,6062,5
StringQuickSort,Prefix,1400,252.244,85161,5
StringMergeSort,Prefix,1400,2174.25,695858,5
MSDRadixSort,Prefix,1400,2112.73,0,5
MSDRadixSort+QS,Prefix,1400,1912.05,5878,5
QuickSort,Random,1500,159.496,23091,5
MergeSort,Random,1500,1120.97,19175,5
QuickSort,Reverse,1500,89.6762,20590,5
MergeSort,Reverse,1500,956.954,12079,5
QuickSort,NearlySorted,1500,99.4322,22782,5
MergeSort,NearlySorted,1500,976.943,18807,5
QuickSort,Prefix,1500,417.838,891113,5
MergeSort,Prefix,1500,1279.7,718979,5
StringQuickSort,Random,1500,149.695,17620,5
StringMergeSort,Random,1500,1188.46,30759,5
MSDRadixSort,Random,1500,381.177,0,5
MSDRadixSort+QS,Random,1500,199.173,6440,5
StringQuickSort,Reverse,1500,84.6228,13633,5
StringMergeSort,Reverse,1500,1063.89,34086,5
MSDRadixSort,Reverse,1500,452.226,0,5
MSDRadixSort+QS,Reverse,1500,171.909,6536,5
StringQuickSort,NearlySorted,1500,97.8352,14209,5
StringMergeSort,NearlySorted,1500,1113.64,34221,5
MSDRadixSort,NearlySorted,1500,450.605,0,5
MSDRadixSort+QS,NearlySorted,1500,173.466,6480,5
StringQuickSort,Prefix,1500,272.676,91201,5
StringMergeSort,Prefix,1500,2335.06,753267,5
MSDRadixSort,Prefix,1500,2203.51,0,5
MSDRadixSort+QS,Prefix,1500,2054.5,6461,5
QuickSort,Random,1600,160.89,23399,5
MergeSort,Random,1600,1191.09,20785,5
QuickSort,Reverse,1600,97.3786,22074,5
MergeSort,Reverse,1600,1053.19,13059,5
QuickSort,NearlySorted,1600,112.807,24984,5
MergeSort,NearlySorted,1600,1050.86,20094,5
QuickSort,Prefix,1600,503.195,1104002,5
MergeSort,Prefix,1600,1367.7,774638,5
StringQuickSort,Random,1600,157.724,18589,5
StringMergeSort,Random,1600,1265.15,33257,5
MSDRadixSort,Random,1600,410.675,0,5
MSDRadixSort+QS,Random,1600,217.598,6969,5
StringQuickSort,Reverse,1600,91.7642,14776,5
StringMergeSort,Reverse,1600,1149.73,36743,5
MSDRadixSort,Reverse,1600,473.9,0,5
MSDRadixSort+QS,Reverse,1600,183.352,6979,5
StringQuickSort,NearlySorted,1600,106.906,15690,5
StringMergeSort,NearlySorted,1600,1200.25,36745,5
MSDRadixSort,NearlySorted,1600,479.004,0,5
MSDRadixSort+QS,NearlySorted,1600,187.662,6974,5
StringQuickSort,Prefix,1600,300.12,99924,5
StringMergeSort,Prefix,1600,2503.75,810776,5
MSDRadixSort,Prefix,1600,2342.52,0,5
MSDRadixSort+QS,Prefix,1600,2202.57,7099,5
QuickSort,Random,1700,189.012,26062,5
MergeSort,Random,1700,1276.55,22405,5
QuickSort,Reverse,1700,102.33,23485,5
MergeSort,Reverse,1700,1105.94,13869,5
QuickSort,NearlySorted,1700,119.451,25956,5
MergeSort,NearlySorted,1700,1145.78,21779,5
QuickSort,Prefix,1700,465.222,990362,5
MergeSort,Prefix,1700,1471.07,828476,5
StringQuickSort,Random,1700,163.147,18462,5
StringMergeSort,Random,1700,1350.69,35767,5
MSDRadixSort,Random,1700,436.958,0,5
MSDRadixSort+QS,Random,1700,212.302,7609,5
StringQuickSort,Reverse,1700,96.2364,15732,5
StringMergeSort,Reverse,1700,1221.31,39245,5
MSDRadixSort,Reverse,1700,507.958,0,5
MSDRadixSort+QS,Reverse,1700,186.023,7429,5
StringQuickSort,NearlySorted,1700,113.849,16526,5
StringMergeSort,NearlySorted,1700,1280.4,39501,5
MSDRadixSort,NearlySorted,1700,498.394,0,5
MSDRadixSort+QS,NearlySorted,1700,201.339,7468,5
StringQuickSort,Prefix,1700,310.997,103675,5
StringMergeSort,Prefix,1700,2700.01,868262,5
MSDRadixSort,Prefix,1700,2529.8,0,5
MSDRadixSort+QS,Prefix,1700,2438.46,7482,5
QuickSort,Random,1800,198.8,28576,5
MergeSort,Random,1800,1352.26,23945,5
QuickSort,Reverse,1800,109.96,24903,5
MergeSort,Reverse,1800,1174.46,14996,5
QuickSort,NearlySorted,1800,130.732,28786,5
MergeSort,NearlySorted,1800,1205.79,23186,5
QuickSort,Prefix,1800,500.48,1061267,5
MergeSort,Prefix,1800,1569.13,884782,5
StringQuickSort,Random,1800,179.306,20431,5
StringMergeSort,Random,1800,1413.05,38193,5
MSDRadixSort,Random,1800,466.066,0,5
MSDRadixSort+QS,Random,1800,231.515,8199,5
StringQuickSort,Reverse,1800,103.209,16969,5
StringMergeSort,Reverse,1800,1295.09,41987,5
MSDRadixSort,Reverse,1800,550.943,0,5
MSDRadixSort+QS,Reverse,1800,199.447,7880,5
StringQuickSort,NearlySorted,1800,120.455,17430,5
StringMergeSort,NearlySorted,1800,1346.94,42192,5
MSDRadixSort,NearlySorted,1800,535.887,0,5
MSDRadixSort+QS,NearlySorted,1800,224.23,7964,5
StringQuickSort,Prefix,1800,329.006,110044,5
StringMergeSort,Prefix,1800,2901.82,925730,5
MSDRadixSort,Prefix,1800,2719.82,0,5
MSDRadixSort+QS,Prefix,1800,2524.54,8435,5
QuickSort,Random,1900,205.309,30372,5
MergeSort,Random,1900,1383.34,25622,5
QuickSort,Reverse,1900,114.184,26418,5
MergeSort,Reverse,1900,1239.34,16015,5
QuickSort,NearlySorted,1900,139.813,31091,5
MergeSort,NearlySorted,1900,1299.76,24483,5
QuickSort,Prefix,1900,565.971,1218673,5
MergeSort,Prefix,1900,1671.52,941347,5
StringQuickSort,Random,1900,189.583,21749,5
StringMergeSort,Random,1900,1486.93,40746,5
MSDRadixSort,Random,1900,568.466,0,5
MSDRadixSort+QS,Random,1900,261.846,8895,5
StringQuickSort,Reverse,1900,111.829,18031,5
StringMergeSort,Reverse,1900,1385.19,44607,5
MSDRadixSort,Reverse,1900,564.697,0,5
MSDRadixSort+QS,Reverse,1900,207.252,8317,5
StringQuickSort,NearlySorted,1900,129.991,18544,5
StringMergeSort,NearlySorted,1900,1496.79,44756,5
MSDRadixSort,NearlySorted,1900,598.455,0,5
MSDRadixSort+QS,NearlySorted,1900,244.587,8427,5
StringQuickSort,Prefix,1900,359.426,115368,5
StringMergeSort,Prefix,1900,3057.34,983220,5
MSDRadixSort,Prefix,1900,2819.72,0,5
MSDRadixSort+QS,Prefix,1900,2657.57,9013,5
QuickSort,Random,2000,232.832,35600,5
MergeSort,Random,2000,1473.31,27244,5
QuickSort,Reverse,2000,119.672,28014,5
MergeSort,Reverse,2000,1303.83,17073,5
QuickSort,NearlySorted,2000,145.832,32304,5
MergeSort,NearlySorted,2000,1373.12,25559,5
QuickSort,Prefix,2000,602.236,1273270,5
MergeSort,Prefix,2000,1768.91,998214,5
StringQuickSort,Random,2000,206.839,24334,5
StringMergeSort,Random,2000,1624.55,43258,5
MSDRadixSort,Random,2000,550.262,0,5
MSDRadixSort+QS,Random,2000,261.533,9444,5
StringQuickSort,Reverse,2000,115.779,19017,5
